Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,110863.75,445332
2016-01-05,143000.0,145000.0,142000.0,143500.0,110478.8046875,530496
2016-01-06,144000.0,145000.0,139000.0,140000.0,107784.203125,769406
2016-01-07,138500.0,140000.0,137500.0,137500.0,105859.484375,586187
2016-01-08,134500.0,138000.0,133500.0,136500.0,105089.6015625,888701
2016-01-11,134500.0,140500.0,134000.0,140000.0,107784.203125,542749
2016-01-12,140500.0,141500.0,139000.0,139500.0,107399.2890625,386506
2016-01-13,140500.0,141500.0,139500.0,140500.0,108169.15625,338336
2016-01-14,138500.0,143500.0,136500.0,141000.0,108554.1015625,664829
2016-01-15,141000.0,142000.0,136500.0,138500.0,106629.3828125,568653
2016-01-18,137500.0,140000.0,135500.0,139000.0,107014.3203125,400716
2016-01-19,138000.0,140000.0,136000.0,140000.0,107784.203125,332956
2016-01-20,139500.0,140000.0,135500.0,136500.0,105089.6015625,544330
2016-01-21,136000.0,138000.0,135500.0,137000.0,105474.546875,455723
2016-01-22,138000.0,140500.0,136500.0,139000.0,107014.3203125,551671
2016-01-25,140000.0,140500.0,136000.0,137500.0,105859.484375,543064
2016-01-26,136500.0,137000.0,134500.0,136000.0,104704.671875,564584
2016-01-27,135500.0,137000.0,134500.0,137000.0,105474.546875,702981
2016-01-28,135500.0,136500.0,134500.0,135000.0,103934.7578125,480730
2016-01-29,135000.0,136000.0,131000.0,133000.0,102394.9921875,990382
2016-02-01,132000.0,132500.0,130500.0,132500.0,102010.0546875,689972
2016-02-02,131500.0,132500.0,129000.0,129500.0,99700.3984375,594441
2016-02-03,127500.0,129500.0,126500.0,129000.0,99315.4609375,649021
2016-02-04,130000.0,132500.0,129500.0,132500.0,102010.0546875,600523
2016-02-05,132000.0,133500.0,131000.0,133500.0,102779.9453125,513150
2016-02-11,130500.0,132500.0,130500.0,131000.0,100855.2265625,688873
2016-02-12,131500.0,137500.0,131000.0,137000.0,105474.546875,1264899
2016-02-15,137500.0,141500.0,135000.0,139500.0,107399.2890625,879160
2016-02-16,139500.0,142500.0,137500.0,141000.0,108554.1015625,524822
2016-02-17,142000.0,147500.0,141000.0,147000.0,113173.4296875,772996
2016-02-18,147500.0,149000.0,145500.0,147000.0,113173.4296875,468798
2016-02-19,147000.0,151000.0,147000.0,149000.0,114713.2109375,477553
2016-02-22,147500.0,148500.0,146000.0,147500.0,113558.3671875,273335
2016-02-23,148000.0,149000.0,146500.0,149000.0,114713.2109375,250401
2016-02-24,147500.0,150000.0,146500.0,149000.0,114713.2109375,191286
2016-02-25,149500.0,153000.0,145500.0,147000.0,113173.4296875,490265
2016-02-26,148000.0,148000.0,144500.0,147000.0,113173.4296875,351408
2016-02-29,145500.0,149000.0,144500.0,147500.0,113558.3671875,570117
2016-03-02,150000.0,150000.0,148000.0,150000.0,115483.09375,539821
2016-03-03,151500.0,151500.0,146000.0,147500.0,113558.3671875,627810
2016-03-04,146000.0,147500.0,143500.0,147500.0,113558.3671875,696287
2016-03-07,147500.0,147500.0,145500.0,146500.0,112788.484375,317439
2016-03-08,145000.0,149500.0,145000.0,148000.0,113943.296875,366489
2016-03-09,147000.0,149500.0,146500.0,149500.0,115098.1484375,452965
2016-03-10,149000.0,150000.0,148000.0,148000.0,113943.296875,690061
2016-03-11,147500.0,150000.0,147500.0,149000.0,114713.2109375,408175
2016-03-14,150000.0,150500.0,147000.0,148500.0,114328.2578125,362075
2016-03-15,148500.0,149000.0,146000.0,147000.0,113173.4296875,309077
2016-03-16,147000.0,148000.0,145500.0,146500.0,112788.484375,206136
2016-03-17,148000.0,148500.0,146000.0,146500.0,112788.484375,492380
2016-03-18,148000.0,150500.0,147500.0,150500.0,115868.03125,769047
2016-03-21,151000.0,155000.0,149500.0,154500.0,118947.5625,803657
2016-03-22,155500.0,159000.0,155000.0,159000.0,122412.0859375,872121
2016-03-23,159500.0,159500.0,157000.0,158000.0,121642.1796875,454762
2016-03-24,156500.0,157000.0,154500.0,155500.0,119717.46875,288522
2016-03-25,154500.0,155500.0,152000.0,153000.0,117792.7421875,279961
2016-03-28,153000.0,156500.0,152000.0,154000.0,118562.640625,186865
2016-03-29,155000.0,156000.0,153500.0,155000.0,119332.5234375,229075
2016-03-30,156000.0,159000.0,155000.0,155500.0,119717.46875,373060
2016-03-31,156000.0,156000.0,151500.0,152500.0,117407.7734375,575626
2016-04-01,152500.0,152500.0,147500.0,149500.0,115098.1484375,604435
2016-04-04,148500.0,149500.0,143500.0,144000.0,110863.75,767267
2016-04-05,144000.0,145000.0,143500.0,144500.0,111248.6953125,292339
2016-04-06,144000.0,146000.0,144000.0,144000.0,110863.75,379789
2016-04-07,143500.0,146500.0,143500.0,146500.0,112788.484375,366852
2016-04-08,146000.0,146500.0,144000.0,146000.0,112403.53125,339546
2016-04-11,147500.0,147500.0,145000.0,146000.0,112403.53125,197423
2016-04-12,146000.0,150000.0,145000.0,148500.0,114328.2578125,361212
2016-04-14,150000.0,152000.0,149500.0,152000.0,117022.875,496852
2016-04-15,150500.0,152000.0,149000.0,151500.0,116637.90625,297722
2016-04-18,150000.0,155000.0,150000.0,154000.0,118562.640625,406339
2016-04-19,155000.0,155000.0,152000.0,153000.0,117792.7421875,310407
2016-04-20,153500.0,155000.0,151000.0,151500.0,116637.90625,270230
2016-04-21,152000.0,154500.0,152000.0,154000.0,118562.640625,297646
2016-04-22,152000.0,153500.0,150500.0,151000.0,116252.9921875,318972
2016-04-25,151000.0,152000.0,149000.0,149500.0,115098.1484375,273343
2016-04-26,149000.0,154000.0,149000.0,153500.0,118177.6875,365930
2016-04-27,152000.0,153000.0,148500.0,149000.0,114713.2109375,374037
2016-04-28,148500.0,150500.0,147000.0,148000.0,113943.296875,466520
2016-04-29,146500.0,147500.0,142000.0,143500.0,110478.8046875,739237
2016-05-02,142000.0,144000.0,141500.0,142500.0,109708.921875,242036
2016-05-03,143000.0,144000.0,142000.0,142500.0,109708.921875,359029
2016-05-04,141500.0,142000.0,138500.0,139000.0,107014.3203125,807340
2016-05-09,138500.0,139000.0,135500.0,135500.0,104319.7265625,482711
2016-05-10,136500.0,140500.0,136500.0,139500.0,107399.2890625,346710
2016-05-11,140500.0,142000.0,138500.0,139000.0,107014.3203125,284228
2016-05-12,138000.0,138500.0,136500.0,136500.0,105089.6015625,421047
2016-05-13,136000.0,137500.0,135000.0,135000.0,103934.7578125,529746
2016-05-16,136500.0,137500.0,135000.0,135500.0,104319.7265625,397771
2016-05-17,135500.0,136500.0,134500.0,134500.0,103549.8515625,314839
2016-05-18,135000.0,135500.0,132000.0,133000.0,102394.9921875,630692
2016-05-19,132500.0,136000.0,132500.0,134500.0,103549.8515625,389055
2016-05-20,134000.0,135000.0,131500.0,132000.0,101625.1328125,462176
2016-05-23,133000.0,134500.0,133000.0,133000.0,102394.9921875,310458
2016-05-24,133000.0,135000.0,132000.0,133500.0,102779.9453125,355717
2016-05-25,134500.0,137000.0,134000.0,135000.0,103934.7578125,500528
2016-05-26,136000.0,137000.0,134500.0,135000.0,103934.7578125,342299
2016-05-27,136000.0,136500.0,135000.0,136000.0,104704.671875,346406
2016-05-30,136000.0,137500.0,135000.0,136500.0,105089.6015625,474129
2016-05-31,136500.0,139500.0,135000.0,139500.0,107399.2890625,1734508
2016-06-01,137500.0,138500.0,136500.0,138000.0,106244.421875,507997
2016-06-02,138500.0,139000.0,136500.0,138000.0,106244.421875,419054
2016-06-03,138000.0,139500.0,137500.0,138500.0,106629.3828125,352778
2016-06-07,138500.0,139500.0,137500.0,139500.0,107399.2890625,608452
2016-06-08,138500.0,141500.0,138500.0,139500.0,107399.2890625,598656
2016-06-09,139500.0,140500.0,137500.0,139000.0,107014.3203125,578177
2016-06-10,138500.0,140000.0,138000.0,139000.0,107014.3203125,350588
2016-06-13,138000.0,138500.0,135500.0,135500.0,104319.7265625,476958
2016-06-14,135500.0,138500.0,135000.0,138500.0,106629.3828125,431039
2016-06-15,138000.0,139500.0,135000.0,135500.0,104319.7265625,409607
2016-06-16,135500.0,136000.0,133500.0,134500.0,103549.8515625,399199
2016-06-17,136000.0,136500.0,133500.0,134500.0,103549.8515625,328695
2016-06-20,136000.0,138500.0,135500.0,136500.0,105089.6015625,305307
2016-06-21,136500.0,139000.0,135500.0,138000.0,106244.421875,353879
2016-06-22,138500.0,141500.0,138500.0,140000.0,107784.203125,413267
2016-06-23,140500.0,141500.0,140000.0,141000.0,108554.1015625,273960
2016-06-24,140500.0,142000.0,134500.0,139500.0,107399.2890625,901574
2016-06-27,141000.0,144000.0,139500.0,141500.0,108939.0625,1031506
2016-06-28,141500.0,142000.0,138500.0,139000.0,107014.3203125,570526
2016-06-29,140000.0,140000.0,137500.0,139000.0,107789.7734375,436045
2016-06-30,138000.0,138500.0,135500.0,135500.0,105075.6640625,2700499
2016-07-01,136500.0,138000.0,136000.0,137000.0,106238.859375,388387
2016-07-04,138000.0,139500.0,137000.0,137000.0,106238.859375,518981
2016-07-05,136500.0,137000.0,134500.0,135000.0,104687.90625,389267
2016-07-06,134000.0,134500.0,129000.0,130000.0,100810.6015625,1098353
2016-07-07,131500.0,132500.0,130500.0,131000.0,101586.0625,351312
2016-07-08,131000.0,133000.0,129000.0,130500.0,101198.3359375,472095
2016-07-11,130500.0,132000.0,130500.0,131000.0,101586.0625,395952
2016-07-12,131500.0,133000.0,131000.0,132000.0,102361.546875,401323
2016-07-13,133000.0,135500.0,132500.0,135500.0,105075.6640625,567236
2016-07-14,134000.0,134500.0,131000.0,131500.0,101973.7890625,688220
2016-07-15,132000.0,134000.0,132000.0,133000.0,103136.984375,608594
2016-07-18,133000.0,134000.0,131000.0,132000.0,102361.546875,417748
2016-07-19,131500.0,132000.0,130000.0,130000.0,100810.6015625,630163
2016-07-20,129500.0,131000.0,129000.0,129500.0,100422.8671875,513880
2016-07-21,130000.0,131000.0,128500.0,130000.0,100810.6015625,459440
2016-07-22,130000.0,130500.0,129000.0,129000.0,100035.140625,364418
2016-07-25,129500.0,136000.0,129500.0,135500.0,105075.6640625,1182857
2016-07-26,135000.0,139500.0,134000.0,136000.0,105463.40625,1125762
2016-07-27,137000.0,137500.0,135000.0,137000.0,106238.859375,450182
2016-07-28,137500.0,138000.0,135000.0,136000.0,105463.40625,451570
2016-07-29,135000.0,136000.0,132000.0,132000.0,102361.546875,698032
2016-08-01,132500.0,136000.0,132500.0,135500.0,105075.6640625,510753
2016-08-02,135500.0,135500.0,133000.0,134000.0,103912.4609375,383193
2016-08-03,133000.0,134000.0,130500.0,132000.0,102361.546875,393748
2016-08-04,132500.0,133000.0,129500.0,130500.0,101198.3359375,552854
2016-08-05,130500.0,133000.0,130500.0,133000.0,103136.984375,432472
2016-08-08,134000.0,134000.0,132000.0,133000.0,103136.984375,367241
2016-08-09,135000.0,137000.0,134500.0,136500.0,105851.125,590729
2016-08-10,135500.0,137000.0,134000.0,134000.0,103912.4609375,495316
2016-08-11,134000.0,135000.0,133500.0,134500.0,104300.2109375,340296
2016-08-12,135000.0,136000.0,134500.0,136000.0,105463.40625,441448
2016-08-16,136000.0,137000.0,133000.0,133000.0,103136.984375,564040
2016-08-17,133500.0,135000.0,133000.0,135000.0,104687.90625,456621
2016-08-18,134500.0,135000.0,132000.0,132500.0,102749.2578125,501557
2016-08-19,133000.0,134000.0,132000.0,132500.0,102749.2578125,375138
2016-08-22,132500.0,133000.0,131000.0,132000.0,102361.546875,400250
